last_update_time;status
2020-10-26 00:00:00;started
2020-10-26 21:19:58;started
2020-10-26 21:19:58;finished
2020-10-26 21:20:12;started
2020-10-26 21:20:12;finished
2020-10-26 21:20:28;started
2020-10-26 21:20:28;finished
2020-10-26 21:20:38;started
2020-10-26 21:20:38;finished
2020-10-26 21:22:38;started
2020-10-26 21:29:01;started
2020-10-26 21:29:01;finished
2020-10-26 21:29:37;started
2020-10-26 21:31:23;finished
2020-10-27 04:59:42;started
2020-10-27 05:03:55;finished
2020-10-27 06:57:40;started
2020-10-27 07:00:41;finished
2020-10-27 18:57:02;started
2020-10-27 18:59:52;finished
2020-10-27 19:04:25;started
2020-10-27 19:06:19;finished
2020-10-27 19:18:14;started
2020-10-27 19:19:57;finished
2020-10-28 07:12:20;started
2020-10-28 07:14:06;finished
2020-10-28 09:02:02;started
2020-10-28 09:03:36;finished
2020-10-28 14:01:37;started
2020-10-28 14:02:02;started
2020-10-28 14:03:29;finished
2020-10-28 19:30:58;started
2020-10-28 19:32:36;finished
2020-10-28 22:12:03;started
2020-10-28 22:13:33;finished
2020-10-29 05:01:54;started
2020-10-29 05:03:47;finished
2020-10-29 14:01:48;started
2020-10-29 14:02:02;started
2020-10-29 14:03:58;finished
2020-10-29 21:54:37;started
2020-10-29 21:57:00;started
2020-10-29 21:58:58;finished
2020-10-30 05:02:04;started
2020-10-30 05:03:45;finished
2020-10-30 09:02:02;started
2020-10-30 09:03:35;finished
2020-10-30 13:02:03;started
2020-10-30 13:03:35;finished
2020-10-30 14:02:02;started
2020-10-30 14:03:33;finished
2020-10-30 17:02:02;started
2020-10-30 17:03:54;finished
2020-10-30 21:02:03;started
2020-10-31 01:02:04;started
2020-10-31 01:03:50;finished
2020-10-31 05:02:05;started
2020-10-31 05:03:37;finished
2020-10-31 09:02:03;started
2020-10-31 09:03:43;finished
2020-10-31 13:02:03;started
2020-10-31 13:03:41;finished
2020-10-31 14:02:02;started
2020-10-31 14:03:44;finished
2020-10-31 17:02:02;started
2020-10-31 17:03:43;finished
2020-10-31 21:02:04;started
2020-10-31 21:04:05;finished
2020-11-01 01:02:03;started
2020-11-01 01:03:42;finished
2020-11-01 05:02:05;started
2020-11-01 05:03:40;finished
2020-11-01 09:02:03;started
2020-11-01 09:03:48;finished
2020-11-01 13:02:03;started
2020-11-01 13:03:40;finished
2020-11-01 14:02:02;started
2020-11-01 14:04:07;finished
2020-11-01 16:51:26;started
2020-11-01 16:51:26;finished
2020-11-01 16:55:15;started
2020-11-01 16:55:42;started
2020-11-01 17:02:05;started
2020-11-01 17:03:58;finished
2020-11-01 17:19:38;started
2020-11-01 17:21:25;finished
2020-11-01 17:33:44;started
2020-11-01 17:35:57;finished
2020-11-01 17:38:28;started
2020-11-01 17:41:00;finished
2020-11-01 17:51:11;started
2020-11-01 17:53:42;finished
2020-11-01 21:02:03;started
2020-11-01 21:04:15;finished
2020-11-02 01:02:04;started
2020-11-02 01:03:49;finished
2020-11-02 05:02:05;started
2020-11-02 05:03:56;finished
2020-11-02 09:02:04;started
2020-11-02 09:03:52;finished
2020-11-02 13:02:04;started
2020-11-02 13:03:54;finished
2020-11-02 14:02:02;started
2020-11-02 14:04:00;finished
2020-11-02 17:02:06;started
2020-11-02 17:04:05;finished
2020-11-02 21:02:04;started
2020-11-02 21:03:59;finished
2020-11-03 01:02:04;started
2020-11-03 01:03:44;finished
2020-11-03 05:02:04;started
2020-11-03 05:04:11;finished
2020-11-03 09:02:04;started
2020-11-03 09:03:50;finished
2020-11-03 13:02:06;started
2020-11-03 14:02:02;started
2020-11-03 14:03:49;finished
2020-11-03 17:02:06;started
2020-11-03 17:04:05;finished
2020-11-03 21:02:04;started
2020-11-03 21:03:59;finished
2020-11-04 01:02:04;started
2020-11-04 01:03:49;finished
2020-11-04 05:02:04;started
2020-11-04 05:03:59;finished
2020-11-04 09:02:04;started
2020-11-04 09:03:48;finished
2020-11-04 13:02:06;started
2020-11-04 14:02:02;started
2020-11-04 14:03:52;finished
2020-11-04 17:02:06;started
2020-11-04 17:03:55;finished
2020-11-04 21:02:04;started
2020-11-05 05:02:04;started
2020-11-05 05:03:56;finished
2020-11-05 14:01:31;started
2020-11-05 14:02:02;started
2020-11-05 14:04:02;finished
2020-11-06 04:59:37;started
2020-11-06 05:02:02;started
2020-11-06 05:04:05;finished
2020-11-06 14:01:53;started
2020-11-06 14:03:58;finished
2020-11-07 04:59:49;started
2020-11-07 04:59:52;started
2020-11-07 05:02:09;started
2020-11-07 05:04:12;finished
2020-11-07 15:12:04;started
2020-11-07 15:14:30;finished
2020-11-08 05:02:12;started
2020-11-08 05:04:18;finished
2020-11-08 14:02:09;started
2020-11-08 14:04:11;finished
2020-11-09 05:02:05;started
2020-11-09 05:03:58;finished
2020-11-09 14:01:43;started
2020-11-09 14:02:02;started
2020-11-09 14:04:37;finished
2020-11-09 21:16:40;started
2020-11-09 21:17:01;started
2020-11-09 21:19:51;finished
2020-11-09 21:20:24;started
2020-11-09 21:22:29;finished
2020-11-09 21:33:36;started
2020-11-09 21:35:57;started
2020-11-09 21:38:17;finished
2020-11-10 04:59:44;started
2020-11-10 05:02:05;started
2020-11-10 05:04:00;finished
2020-11-10 12:59:41;started
2020-11-10 13:02:01;started
2020-11-10 13:04:09;finished
2020-11-11 05:02:04;started
2020-11-11 06:30:51;started
2020-11-11 06:32:55;finished
2020-11-11 13:02:04;started
2020-11-11 13:04:17;finished
2020-11-11 21:32:55;started
2020-11-11 21:35:14;finished
2020-11-12 04:59:37;started
2020-11-12 05:02:02;started
2020-11-12 07:11:30;started
2020-11-12 07:15:08;started
2020-11-12 12:59:42;started
2020-11-12 13:02:03;started
2020-11-12 13:04:15;finished
2020-11-12 21:54:36;started
2020-11-12 21:56:26;started
2020-11-12 21:59:09;finished
2020-11-13 04:59:46;started
2020-11-13 05:02:02;started
2020-11-13 05:04:15;finished
2020-11-13 13:02:03;started
2020-11-13 13:04:06;finished
2020-11-13 17:02:05;started
2020-11-13 17:03:55;finished
2020-11-13 21:49:40;started
2020-11-13 21:51:43;finished
2020-11-14 04:59:58;started
2020-11-14 05:02:02;started
2020-11-14 05:04:08;finished
2020-11-14 12:59:41;started
2020-11-14 13:02:01;started
2020-11-14 13:02:03;started
2020-11-15 05:02:07;started
2020-11-15 05:05:09;finished
2020-11-15 12:59:45;started
2020-11-15 13:02:03;started
2020-11-15 13:02:03;started
2020-11-16 04:59:37;started
2020-11-16 05:02:02;started
2020-11-16 05:03:55;finished
2020-11-16 13:02:04;started
2020-11-16 13:04:24;finished
2020-11-16 21:28:45;started
2020-11-16 21:31:04;finished
2020-11-16 21:32:07;started
2020-11-16 21:34:47;finished
2020-11-17 05:02:02;started
2020-11-17 07:10:20;started
2020-11-17 07:12:38;finished
2020-11-17 12:59:43;started
2020-11-17 13:02:01;started
2020-11-17 13:03:56;finished
2020-11-17 21:02:04;started
2020-11-17 21:04:56;finished
2020-11-19 07:06:14;started
2020-11-19 07:10:20;finished
2020-11-19 14:02:04;started
2020-11-20 05:02:02;started
2020-11-20 05:04:10;finished
2020-11-20 14:01:47;started
2020-11-20 14:02:02;started
2020-11-20 14:04:08;finished
2020-11-21 04:59:53;started
2020-11-21 04:59:54;started
2020-11-21 05:02:04;started
2020-11-21 05:04:22;finished
